Year,State,Month,"Cause of Death",Count
2019,CA,06,HOM,178
2019,CA,06,HTD,4921
2019,CA,06,HYP,422
2019,CA,06,INJ,1340
2019,CA,06,LIV,440
2019,CA,06,NEP,331
2019,CA,06,OTH,3883
2019,CA,06,PNF,392
2019,CA,06,STK,1318
2019,CA,06,SUI,411
2019,CA,07,ALZ,1309
2019,CA,07,CAN,4937
2019,CA,07,CLD,992
2019,CA,07,DIA,732
2019,CA,07,HOM,152
2019,CA,07,HTD,4816
2019,CA,07,HYP,411
2019,CA,07,INJ,1292
2019,CA,07,LIV,447
2019,CA,07,NEP,293
2019,CA,07,OTH,3947
2019,CA,07,PNF,368
2019,CA,07,STK,1279
2019,CA,07,SUI,380
2019,CA,08,ALZ,1237
2019,CA,08,CAN,5035
2019,CA,08,CLD,892
2019,CA,08,DIA,719
2019,CA,08,HOM,153
2019,CA,08,HTD,4713
2019,CA,08,HYP,392
2019,CA,08,INJ,1328
2019,CA,08,LIV,461
2019,CA,08,NEP,299
2019,CA,08,OTH,3805
2019,CA,08,PNF,320
2019,CA,08,STK,1239
2019,CA,08,SUI,442
2019,CA,09,ALZ,1334
2019,CA,09,CAN,4938
2019,CA,09,CLD,879
2019,CA,09,DIA,683
2019,CA,09,HOM,147
2019,CA,09,HTD,4596
2019,CA,09,HYP,427
2019,CA,09,INJ,1253
2019,CA,09,LIV,387
2019,CA,09,NEP,284
2019,CA,09,OTH,3833
2019,CA,09,PNF,297
2019,CA,09,STK,1295
2019,CA,09,SUI,369
2019,CA,10,ALZ,1429
2019,CA,10,CAN,5172
2019,CA,10,CLD,1051
2019,CA,10,DIA,769
2019,CA,10,HOM,182
2019,CA,10,HTD,4858
2019,CA,10,HYP,452
2019,CA,10,INJ,1221
2019,CA,10,LIV,499
2019,CA,10,NEP,330
2019,CA,10,OTH,4213
2019,CA,10,PNF,358
2019,CA,10,STK,1435
2019,CA,10,SUI,341
2019,CA,11,ALZ,1420
2019,CA,11,CAN,4896
2019,CA,11,CLD,1033
2019,CA,11,DIA,839
2019,CA,11,HOM,121
2019,CA,11,HTD,4884
2019,CA,11,HYP,448
2019,CA,11,INJ,1245
2019,CA,11,LIV,487
2019,CA,11,NEP,311
2019,CA,11,OTH,4384
2019,CA,11,PNF,394
2019,CA,11,STK,1443
2019,CA,11,SUI,308
2019,CA,12,ALZ,1615
2019,CA,12,CAN,5084
2019,CA,12,CLD,1155
2019,CA,12,DIA,949
2019,CA,12,HOM,128
2019,CA,12,HTD,5589
2019,CA,12,HYP,508
2019,CA,12,INJ,1202
2019,CA,12,LIV,464
2019,CA,12,NEP,392
2019,CA,12,OTH,4816
2019,CA,12,PNF,536
2019,CA,12,STK,1554
2019,CA,12,SUI,307
2020,CA,01,ALZ,1606
2020,CA,01,CAN,5223
2020,CA,01,CLD,1268
2020,CA,01,DIA,970
2020,CA,01,HOM,147
2020,CA,01,HTD,5976
2020,CA,01,HYP,542
2020,CA,01,INJ,1151
2020,CA,01,LIV,497
2020,CA,01,NEP,406
2020,CA,01,OTH,5095
2020,CA,01,PNF,818
2020,CA,01,STK,1629
2020,CA,01,SUI,362
2020,CA,02,ALZ,1537
2020,CA,02,CAN,4809
2020,CA,02,CLD,1266
2020,CA,02,DIA,872
2020,CA,02,HOM,122
2020,CA,02,HTD,5392
2020,CA,02,HYP,448
2020,CA,02,INJ,964
2020,CA,02,LIV,450
2020,CA,02,NEP,423
2020,CA,02,OTH,4990
2020,CA,02,PNF,750
2020,CA,02,STK,1375
2020,CA,02,SUI,298
2020,CA,03,ALZ,1535
2020,CA,03,CAN,5109
2020,CA,03,CLD,1257
2020,CA,03,DIA,890
2020,CA,03,HOM,135
2020,CA,03,HTD,5252
2020,CA,03,HYP,528
2020,CA,03,INJ,698
2020,CA,03,LIV,430
2020,CA,03,NEP,387
2020,CA,03,OTH,5913
2020,CA,03,PNF,778
2020,CA,03,STK,1482
2020,CA,03,SUI,287
